"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
6938,"Alizadeh 2025","Avicenna Journal of Phytomedicine","SPT",NA,"Wistar","M",NA,82,5.66,"8",58,5.66,"8",21,42,NA,NA
6987,"Peng 2021","Neurochem Int","SPT",NA,"SD","M","12",94,2.46,"5",81,11.02,"6",21,136,12,12
7023,"Liu 2016","Behav Brain Res","SPT",NA,"SD","M",NA,69,7.07,"8",58,19.8,"8",7,42,6,6
7023,"Liu 2016","Behav Brain Res","SPT",NA,"SD","M",NA,69,7.07,"8",52,25.46,"8",14,84,6,6
7023,"Liu 2016","Behav Brain Res","SPT",NA,"SD","M",NA,69,7.07,"8",47,16.97,"8",21,126,6,6
7110,"Chen 2022","Frontiers in Psychiatry","SPT",NA,"SD","M",NA,65,12,"11",53,12,"11",7,42,23,23
7110,"Chen 2022","Frontiers in Psychiatry","SPT",NA,"SD","M",NA,65,12,"11",48,13,"11",14,84,23,23
7110,"Chen 2022","Frontiers in Psychiatry","SPT",NA,"SD","M",NA,65,12,"11",40,16,"11",21,126,23,23
7286,"Adachi 2021","J Tradit Complement Med","SPT",NA,"Wistar","M","7",85,7,NA,53,9,NA,21,126,12,12
7592,"Zhu 2021","Evid Based Complement Alternat Med","SPT",NA,"SD","M",NA,73,7,"8",46,3,"8",21,63,24,24
7660,"Yu 2024","BEHAVIOURAL BRAIN RESEARCH","SPT","""Male Sprague-Dawley rats (8–12 weeks old, 250–300 g) and male Long-Evans rats (350–400 g) .... All rats were randomly assigned to one of the following four models""","Unclear","Unclear","Unclear",83,17,"8",73,28,"8",21,126,NA,NA
7812,"Wang 2022","Neuropsychiatr Dis Treat","SPT","SPT pre-screen done","SD","M","4",91,3,"12",74,9.5,"12",28,112,NA,NA
7864,"Zhao 2023","ANDROLOGIA","SPT",NA,"SD","M","4-5",71,1,NA,46,1,NA,28,168,24,24
7875,"Wang 2017","BRAIN RESEARCH BULLETIN","SPT",NA,"SD","M","7",68,6,"12",59,9,"12",7,42,NA,NA
7875,"Wang 2017","BRAIN RESEARCH BULLETIN","SPT",NA,"SD","M","7",68,6,"12",46,6,"12",14,84,NA,NA
7875,"Wang 2017","BRAIN RESEARCH BULLETIN","SPT",NA,"SD","M","7",68,6,"12",37,5,"12",21,126,NA,NA
7875,"Wang 2017","BRAIN RESEARCH BULLETIN","SPT",NA,"SD","M","7",68,6,"12",33,6,"12",28,168,NA,NA
8438,"Wang 2017","J Tradit Chin Med","SPT",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,28,168,23,23
